Depth Data ID,No GPS Data ID,Acquisition Time,Acquisition Start Time,Underwater Percentage,Dive Count,Average Dive Duration,Maximum Dive Duration,Maximum Dive Depth,Layer 1 Percentage,Layer 2 Percentage,Layer 3 Percentage,Layer 4 Percentage,Layer 5 Percentage,Layer 6 Percentage,Layer 7 Percentage,Layer 8 Percentage,Layer 9 Percentage,Layer 10 Percentage,Layer 1 Dive Count,Layer 2 Dive Count,Layer 3 Dive Count,Layer 4 Dive Count,Layer 5 Dive Count,Layer 6 Dive Count,Layer 7 Dive Count,Layer 8 Dive Count,Layer 9 Dive Count,Layer 10 Dive Count
12,81,2020.07.11 00:00:00,2020.07.10 22:00:00,94.922%,34.0,211.0,,9.0,31.641%,61.328%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,29.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,83,2020.07.11 02:00:00,2020.07.11 00:00:00,91.016%,19.0,374.0,,11.0,19.141%,71.484%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,87,2020.07.11 04:00:00,2020.07.11 02:00:00,94.922%,49.0,144.0,,13.0,38.672%,24.609%,27.734%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,45.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,89,2020.07.11 06:00:00,2020.07.11 04:00:00,98.047%,132.0,53.0,,7.0,88.672%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,91,2020.07.11 08:00:00,2020.07.11 06:00:00,98.047%,151.0,47.0,,5.0,87.891%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,93,2020.07.11 10:00:00,2020.07.11 08:00:00,97.266%,157.0,45.0,,1.0,87.891%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,95,2020.07.11 12:00:00,2020.07.11 10:00:00,97.266%,138.0,50.0,,1.0,88.672%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,99,2020.07.11 14:00:00,2020.07.11 12:00:00,97.266%,134.0,52.0,,7.0,87.891%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,101,2020.07.11 16:00:00,2020.07.11 14:00:00,98.047%,132.0,53.0,,1.0,89.453%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,103,2020.07.11 18:00:00,2020.07.11 16:00:00,97.266%,102.0,68.0,,3.0,90.234%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,107,2020.07.11 20:00:00,2020.07.11 18:00:00,44.141%,28.0,105.0,,7.0,41.016%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,111,2020.07.11 22:00:00,2020.07.11 20:00:00,26.172%,8.0,243.0,,7.0,23.828%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,114,2020.07.12 00:00:00,2020.07.11 22:00:00,88.672%,58.0,112.0,,5.0,84.766%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,117,2020.07.12 02:00:00,2020.07.12 00:00:00,62.891%,49.0,94.0,,1.0,59.766%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,119,2020.07.12 04:00:00,2020.07.12 02:00:00,98.047%,102.0,69.0,,1.0,91.016%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,121,2020.07.12 06:00:00,2020.07.12 04:00:00,71.484%,63.0,80.0,,5.0,67.578%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,123,2020.07.12 08:00:00,2020.07.12 06:00:00,98.047%,74.0,96.0,,3.0,93.359%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,125,2020.07.12 10:00:00,2020.07.12 08:00:00,92.578%,78.0,84.0,,9.0,86.328%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,128,2020.07.12 12:00:00,2020.07.12 10:00:00,83.984%,49.0,123.0,,9.0,80.078%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,133,2020.07.12 14:00:00,2020.07.12 12:00:00,63.672%,25.0,184.0,,5.0,62.109%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,137,2020.07.12 16:00:00,2020.07.12 14:00:00,81.641%,42.0,127.0,,7.0,77.734%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,139,2020.07.12 18:00:00,2020.07.12 16:00:00,91.797%,27.0,257.0,,3.0,90.234%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,143,2020.07.12 20:00:00,2020.07.12 18:00:00,31.641%,19.0,137.0,,7.0,30.078%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,145,2020.07.12 22:00:00,2020.07.12 20:00:00,22.266%,3.0,407.0,,5.0,22.266%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,149,2020.07.13 00:00:00,2020.07.12 22:00:00,51.172%,13.0,282.0,,9.0,48.828%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,153,2020.07.13 02:00:00,2020.07.13 00:00:00,47.266%,25.0,136.0,,3.0,45.703%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,155,2020.07.13 04:00:00,2020.07.13 02:00:00,67.578%,49.0,101.0,,5.0,64.453%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,159,2020.07.13 06:00:00,2020.07.13 04:00:00,44.922%,13.0,228.0,,5.0,44.141%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,161,2020.07.13 08:00:00,2020.07.13 06:00:00,91.016%,31.0,221.0,,11.0,87.109%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,28.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,163,2020.07.13 10:00:00,2020.07.13 08:00:00,61.328%,24.0,178.0,,15.0,58.984%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,168,2020.07.13 12:00:00,2020.07.13 10:00:00,41.016%,9.0,357.0,,3.0,41.016%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,171,2020.07.13 14:00:00,2020.07.13 12:00:00,55.078%,14.0,271.0,,5.0,54.297%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,175,2020.07.13 16:00:00,2020.07.13 14:00:00,50.391%,4.0,911.0,,3.0,50.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,177,2020.07.13 18:00:00,2020.07.13 16:00:00,82.422%,60.0,100.0,,43.0,75.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,58.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,179,2020.07.13 20:00:00,2020.07.13 18:00:00,67.578%,63.0,76.0,,1.0,62.891%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,183,2020.07.13 22:00:00,2020.07.13 20:00:00,76.953%,10.0,499.0,,9.0,73.047%,3.516%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,185,2020.07.14 00:00:00,2020.07.13 22:00:00,10.547%,0.0,1818.0,,5.0,10.547%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,189,2020.07.14 02:00:00,2020.07.14 00:00:00,73.828%,24.0,230.0,,9.0,33.984%,38.672%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,193,2020.07.14 04:00:00,2020.07.14 02:00:00,47.266%,6.0,485.0,,1.0,46.484%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,195,2020.07.14 06:00:00,2020.07.14 04:00:00,44.922%,36.0,92.0,,3.0,42.578%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,199,2020.07.14 08:00:00,2020.07.14 06:00:00,36.328%,7.0,327.0,,1.0,35.547%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,201,2020.07.14 10:00:00,2020.07.14 08:00:00,1.172%,1.0,0.0,,1.0,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,206,2020.07.14 12:00:00,2020.07.14 10:00:00,3.516%,8.0,36.0,,1.0,3.516%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,209,2020.07.14 14:00:00,2020.07.14 12:00:00,1.172%,1.0,59.0,,3.0,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,211,2020.07.14 16:00:00,2020.07.14 14:00:00,93.359%,109.0,62.0,,1.0,86.328%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,213,2020.07.14 18:00:00,2020.07.14 16:00:00,95.703%,99.0,69.0,,23.0,84.766%,1.172%,3.516%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,98.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,215,2020.07.14 20:00:00,2020.07.14 18:00:00,96.484%,111.0,63.0,,11.0,87.891%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,109.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,217,2020.07.14 22:00:00,2020.07.14 20:00:00,96.484%,92.0,75.0,,1.0,90.234%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,221,2020.07.15 00:00:00,2020.07.14 22:00:00,98.047%,86.0,82.0,,1.0,92.578%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,225,2020.07.15 02:00:00,2020.07.15 00:00:00,89.453%,31.0,206.0,,9.0,75.391%,12.891%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,227,2020.07.15 04:00:00,2020.07.15 02:00:00,96.484%,87.0,81.0,,7.0,91.016%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,229,2020.07.15 06:00:00,2020.07.15 04:00:00,97.266%,92.0,76.0,,1.0,91.797%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,233,2020.07.15 08:00:00,2020.07.15 06:00:00,81.641%,78.0,74.0,,7.0,74.609%,1.953%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,77.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,235,2020.07.15 10:00:00,2020.07.15 08:00:00,98.047%,90.0,79.0,,1.0,92.578%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,237,2020.07.15 12:00:00,2020.07.15 10:00:00,66.016%,69.0,69.0,,1.0,61.328%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,241,2020.07.15 14:00:00,2020.07.15 12:00:00,32.422%,31.0,75.0,,1.0,30.078%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,245,2020.07.15 16:00:00,2020.07.15 14:00:00,45.703%,50.0,65.0,,1.0,42.578%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,247,2020.07.15 18:00:00,2020.07.15 16:00:00,91.016%,92.0,71.0,,3.0,85.547%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,249,2020.07.15 20:00:00,2020.07.15 18:00:00,45.703%,45.0,73.0,,1.0,43.359%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,251,2020.07.15 22:00:00,2020.07.15 20:00:00,27.734%,23.0,88.0,,1.0,26.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,257,2020.07.16 00:00:00,2020.07.15 22:00:00,0.391%,0.0,0.0,,1.0,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,259,2020.07.16 02:00:00,2020.07.16 00:00:00,0.391%,0.0,0.0,,1.0,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,261,2020.07.16 04:00:00,2020.07.16 02:00:00,53.516%,34.0,117.0,,5.0,51.953%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,263,2020.07.16 06:00:00,2020.07.16 04:00:00,94.141%,91.0,74.0,,5.0,89.453%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,265,2020.07.16 08:00:00,2020.07.16 06:00:00,96.484%,104.0,67.0,,1.0,89.453%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,267,2020.07.16 10:00:00,2020.07.16 08:00:00,75.391%,81.0,67.0,,3.0,70.703%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,269,2020.07.16 12:00:00,2020.07.16 10:00:00,96.484%,109.0,63.0,,11.0,88.672%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,109.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,273,2020.07.16 14:00:00,2020.07.16 12:00:00,97.266%,113.0,62.0,,3.0,89.453%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,275,2020.07.16 16:00:00,2020.07.16 14:00:00,97.266%,134.0,52.0,,17.0,86.328%,1.172%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,132.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,277,2020.07.16 18:00:00,2020.07.16 16:00:00,96.484%,146.0,47.0,,17.0,84.766%,1.172%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,145.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,279,2020.07.16 20:00:00,2020.07.16 18:00:00,95.703%,125.0,55.0,,39.0,77.734%,2.734%,5.859%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,123.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83,281,2020.07.16 22:00:00,2020.07.16 20:00:00,96.484%,120.0,58.0,,17.0,85.547%,1.172%,1.953%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,119.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,283,2020.07.17 00:00:00,2020.07.16 22:00:00,94.922%,90.0,75.0,,21.0,73.828%,10.547%,4.297%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,87.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,287,2020.07.17 02:00:00,2020.07.17 00:00:00,95.703%,51.0,119.0,,23.0,75.391%,13.672%,3.516%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,45.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,293,2020.07.17 04:00:00,2020.07.17 02:00:00,96.484%,119.0,67.0,,55.0,80.078%,6.641%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,111.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
87,295,2020.07.17 06:00:00,2020.07.17 04:00:00,97.266%,135.0,52.0,,1.0,87.891%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,297,2020.07.17 08:00:00,2020.07.17 06:00:00,98.047%,109.0,64.0,,1.0,91.016%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,299,2020.07.17 10:00:00,2020.07.17 08:00:00,96.484%,131.0,53.0,,1.0,87.891%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,302,2020.07.17 12:00:00,2020.07.17 10:00:00,84.766%,134.0,46.0,,1.0,76.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,305,2020.07.17 14:00:00,2020.07.17 12:00:00,73.047%,114.0,46.0,,9.0,65.234%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,113.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,307,2020.07.17 16:00:00,2020.07.17 14:00:00,97.266%,159.0,44.0,,1.0,86.328%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,309,2020.07.17 18:00:00,2020.07.17 16:00:00,94.922%,140.0,49.0,,23.0,79.297%,2.734%,3.516%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,137.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,313,2020.07.17 20:00:00,2020.07.17 18:00:00,94.141%,91.0,73.0,,59.0,70.703%,6.641%,7.422%,1.172%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,86.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
95,315,2020.07.17 22:00:00,2020.07.17 20:00:00,95.703%,62.0,113.0,,27.0,55.078%,28.516%,7.422%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,53.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,317,2020.07.18 00:00:00,2020.07.17 22:00:00,93.359%,32.0,193.0,,21.0,52.734%,29.297%,8.203%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,22.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
