,,,,,,,,,,,,,,,,,,,,,,,0-120 seconds,121-300 seconds,301-600 seconds,601-1800 seconds,1801-3600 seconds,3601-65535 seconds,0-20m,21-40m,41-80m,81-200m,201-500m,501-4095m,51-70m,71-90m,91-110m,111-4095m,0-20m,21-40m,41-80m,81-200m,201-500m,501-4095m,51-70m,71-90m,91-110m,111-4095m,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,Underwater Percentage,Dive Count,Average Dive Duration,Dive Duration Standard Deviation,Maximum Dive Duration,Maximum Dive Depth,Duration Limit 1 Dive Count,Duration Limit 2 Dive Count,Duration Limit 3 Dive Count,Duration Limit 4 Dive Count,Duration Limit 5 Dive Count,Duration Limit 6 Dive Count,Layer 1 Percentage,Layer 2 Percentage,Layer 3 Percentage,Layer 4 Percentage,Layer 5 Percentage,Layer 6 Percentage,Layer 7 Percentage,Layer 8 Percentage,Layer 9 Percentage,Layer 10 Percentage,Layer 1 Dive Count,Layer 2 Dive Count,Layer 3 Dive Count,Layer 4 Dive Count,Layer 5 Dive Count,Layer 6 Dive Count,Layer 7 Dive Count,Layer 8 Dive Count,Layer 9 Dive Count,Layer 10 Dive Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Saltwater Failsafe,Iridium Command,Schedule Set,Diagnostic Dive Data,Predeployment Data,Error
2020.07.22 07:15:38,2020.07.22 07:00:00,,,,2020.07.22 07:15:38,Resolved QFP,37.94797,16.094548,33S,4200607,596168,5,,1.3,0x53020810,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.22 07:39:19,1,,,,,Primary,,No,
2020.07.22 07:39:09,2020.07.22 07:30:00,,,,2020.07.22 07:39:09,Resolved QFP,37.948205,16.09475,33S,4200633,596185,17,,1.2,0x530A0800,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.22 12:22:41,1,,,,,Primary,,No,
2020.07.22 07:39:19,2020.07.22 07:39:19,3,37.93332,16.05798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.07.22 07:39:19,1,No,,No,,,0 0 1321 4 0 0 0 0,No,
2020.07.22 08:00:00,2020.07.22 06:00:00,,,,,,,,,,,,,,,,0.91016,32,204,,,11,,,,,,,0.12891,0.76172,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,20,12,0,0,0,0,0,0,0,0,,,2020.07.22 12:22:41,1,,,,,Primary,,No,
2020.07.22 08:25:56,2020.07.22 08:00:00,,,,2020.07.22 08:25:56,Resolved QFP,37.950104,16.096502,33S,4200846,596337,5,,1,0x531A8000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.22 12:22:41,1,,,,,Primary,,No,
2020.07.22 08:50:29,2020.07.22 08:30:00,,,,2020.07.22 08:50:29,Resolved QFP,37.950288,16.09714,33S,4200867,596392,47,,1.5,0x421A8200,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.22 12:22:41,1,,,,,Primary,,No,
2020.07.22 09:19:38,2020.07.22 09:00:00,,,,2020.07.22 09:19:38,Unresolved QFP,37.95108,16.097366,33S,4200955,596411,-32,,25.5,0x02108200,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.22 12:22:41,1,,,,,Primary,,No,
2020.07.22 09:48:55,2020.07.22 09:30:00,,,,2020.07.22 09:48:55,Resolved QFP,37.951761,16.098067,33S,4201031,596472,1,,1.4,0x161A8200,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.22 12:22:41,1,,,,,Primary,,No,
2020.07.22 10:00:00,2020.07.22 08:00:00,,,,,,,,,,,,,,,,0.93359,7,1108,,,9,,,,,,,0.03516,0.88672,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,1,5,0,0,0,0,0,0,0,0,,,2020.07.22 12:22:41,1,,,,,Primary,,No,
2020.07.22 10:28:34,2020.07.22 10:00:00,,,,2020.07.22 10:28:34,Resolved QFP,37.952758,16.10032,33S,4201144,596669,22,,2.7,0x041A8280,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.22 12:22:41,1,,,,,Primary,,No,
2020.07.22 10:53:54,2020.07.22 10:30:00,,,,2020.07.22 10:53:54,Resolved QFP,37.952913,16.100689,33S,4201162,596701,16,,1.3,0x82188600,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.22 12:22:41,1,,,,,Primary,,No,
2020.07.22 11:25:13,2020.07.22 11:00:00,,,,2020.07.22 11:25:13,Resolved QFP,37.953032,16.101022,33S,4201175,596730,3,,1.1,0x861A8680,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.22 12:22:41,1,,,,,Primary,,No,
2020.07.22 11:54:06,2020.07.22 11:30:00,,,,2020.07.22 11:54:06,Resolved QFP,37.953389,16.101526,33S,4201216,596774,17,,1.4,0x84188680,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.22 12:22:41,1,,,,,Primary,,No,
2020.07.22 12:00:00,2020.07.22 10:00:00,,,,,,,,,,,,,,,,0.94922,4,1659,,,13,,,,,,,0.01953,0.42578,0.50391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0,1,3,0,0,0,0,0,0,0,,,2020.07.23 00:24:43,1,,,,,Primary,,No,
2020.07.22 12:00:00,2020.07.22 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,2020.07.23 00:24:43,1,,,,,Primary,,No,
2020.07.22 12:22:33,2020.07.22 12:00:00,,,,2020.07.22 12:22:33,Resolved QFP,37.953812,16.101879,33S,4201263,596804,2,,2,0x84380280,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:43,1,,,,,Primary,,No,
2020.07.22 12:22:41,2020.07.22 12:22:41,4,37.95562,16.10175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.07.22 12:22:41,1,No,,No,,,0 0 1594 9 0 0 0 0,No,
2020.07.22 12:51:49,2020.07.22 12:30:00,,,,2020.07.22 12:51:49,Resolved QFP,37.954317,16.102338,33S,4201319,596844,2,,1,0x84288680,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:43,1,,,,,Primary,,No,
2020.07.22 13:28:54,2020.07.22 13:00:00,,,,2020.07.22 13:28:54,Resolved QFP,37.954962,16.102114,33S,4201391,596823,0,,1.5,0x84300681,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:43,1,,,,,Primary,,No,
2020.07.22 13:30:06,2020.07.22 13:30:00,,,,2020.07.22 13:30:06,Resolved QFP,37.955167,16.102267,33S,4201414,596836,5,,1.5,0x84300681,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:43,1,,,,,Primary,,No,
2020.07.22 14:00:00,2020.07.22 12:00:00,,,,,,,,,,,,,,,,0.94922,8,860,,,13,,,,,,,0.04297,0.25391,0.64453,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,3,1,4,0,0,0,0,0,0,0,,,2020.07.23 00:24:43,1,,,,,Primary,,No,
2020.07.22 14:21:34,2020.07.22 14:00:00,,,,2020.07.22 14:21:34,Resolved QFP,37.955565,16.101627,33S,4201457,596780,-8,,4.3,0x04200685,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:43,1,,,,,Primary,,No,
2020.07.22 14:52:15,2020.07.22 14:30:00,,,,2020.07.22 14:52:15,Resolved QFP,37.955126,16.101289,33S,4201408,596751,28,,3.3,0x88200085,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:43,1,,,,,Primary,,No,
2020.07.22 15:31:14,2020.07.22 15:30:00,,,,2020.07.22 15:31:14,Resolved QFP,37.954112,16.100546,33S,4201295,596687,7,,1.1,0xC021040D,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:43,1,,,,,Primary,,No,
2020.07.22 16:00:00,2020.07.22 14:00:00,,,,,,,,,,,,,,,,0.96484,15,415,,,11,,,,,,,0.07422,0.87891,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,8,7,0,0,0,0,0,0,0,0,,,2020.07.23 00:24:43,1,,,,,Primary,,No,
2020.07.22 16:32:21,2020.07.22 16:30:00,,,,2020.07.22 16:32:21,Resolved QFP,37.953324,16.100276,33S,4201207,596664,8,,1.2,0x40250508,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:43,1,,,,,Primary,,No,
2020.07.22 17:19:06,2020.07.22 17:00:00,,,,2020.07.22 17:19:06,Resolved QFP,37.953534,16.100398,33S,4201231,596674,11,,1.9,0x40250128,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:36,1,,,,,Primary,,No,
2020.07.22 17:30:08,2020.07.22 17:30:00,,,,2020.07.22 17:30:08,Resolved QFP,37.952728,16.099737,33S,4201140,596617,3,,2.6,0x0025002D,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:36,1,,,,,Primary,,No,
2020.07.22 18:00:00,2020.07.22 16:00:00,,,,,,,,,,,,,,,,0.96484,35,223,,,11,,,,,,,0.19141,0.74609,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,25,10,0,0,0,0,0,0,0,0,,,2020.07.23 00:24:36,1,,,,,Primary,,No,
2020.07.22 18:01:38,2020.07.22 18:00:00,,,,2020.07.22 18:01:38,Resolved QFP,37.950674,16.095483,33S,4200908,596246,-208,,2.6,0x00250120,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:36,1,,,,,Primary,,No,
2020.07.22 18:34:11,2020.07.22 18:30:00,,,,2020.07.22 18:34:11,Unresolved QFP,37.951121,16.094583,33S,4200957,596167,-29,,25.5,0x20040102,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:36,1,,,,,Primary,,No,
2020.07.22 19:30:06,2020.07.22 19:30:00,,,,2020.07.22 19:30:06,Resolved QFP,37.94711,16.087768,33S,4200505,595573,18,,1,0x2020816E,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:36,1,,,,,Primary,,No,
2020.07.22 20:00:00,2020.07.22 18:00:00,,,,,,,,,,,,,,,,0.77734,79,71,,,5,,,,,,,0.73047,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,79,0,0,0,0,0,0,0,0,0,,,2020.07.23 00:24:36,1,,,,,Primary,,No,
2020.07.22 20:03:46,2020.07.22 20:00:00,,,,2020.07.22 20:03:46,Resolved QFP,37.943849,16.083628,33S,4200139,595214,0,,3.7,0x0000812E,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:36,1,,,,,Primary,,No,
2020.07.22 20:30:07,2020.07.22 20:30:00,,,,2020.07.22 20:30:07,Resolved QFP,37.94219,16.082175,33S,4199953,595088,15,,1,0x0800817A,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:36,1,,,,,Primary,,No,
2020.07.22 21:00:08,2020.07.22 21:00:00,,,,2020.07.22 21:00:08,Resolved QFP,37.942096,16.082041,33S,4199943,595076,-67,,1.4,0x28000152,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:36,1,,,,,Primary,,No,
2020.07.22 21:30:09,2020.07.22 21:30:00,,,,2020.07.22 21:30:09,Resolved QFP,37.939443,16.079579,33S,4199646,594863,24,,1,0x2800117A,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 00:24:36,1,,,,,Primary,,No,
2020.07.22 22:00:00,2020.07.22 20:00:00,,,,,,,,,,,,,,,,0.30078,34,62,,,3,,,,,,,0.27734,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,35,0,0,0,0,0,0,0,0,0,,,2020.07.23 00:24:36,1,,,,,Primary,,No,
2020.07.22 22:00:08,2020.07.22 22:00:00,,,,2020.07.22 22:00:08,Resolved QFP,37.939429,16.079515,33S,4199644,594858,15,,1,0x280011D2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 04:38:20,1,,,,,Primary,,No,
2020.07.22 22:30:08,2020.07.22 22:30:00,,,,2020.07.22 22:30:08,Resolved QFP,37.939445,16.079468,33S,4199646,594854,12,,1.2,0x280051D0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 04:38:20,1,,,,,Primary,,No,
2020.07.22 23:00:09,2020.07.22 23:00:00,,,,2020.07.22 23:00:09,Resolved QFP,37.939511,16.079449,33S,4199653,594852,26,,1.1,0x280151D0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 04:38:20,1,,,,,Primary,,No,
2020.07.22 23:30:08,2020.07.22 23:30:00,,,,2020.07.22 23:30:08,Resolved QFP,37.939495,16.07955,33S,4199651,594861,12,,1.1,0x28055050,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 04:38:20,1,,,,,Primary,,No,
2020.07.23 00:00:00,2020.07.22 22:00:00,,,,,,,,,,,,,,,,0.19922,9,136,,,3,,,,,,,0.19922,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,8,0,0,0,0,0,0,0,0,0,,,2020.07.23 04:38:20,1,,,,,Primary,,No,
2020.07.23 00:00:00,2020.07.23 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,2020.07.23 04:38:20,1,,,,,Primary,,No,
2020.07.23 00:01:33,2020.07.23 00:00:00,,,,2020.07.23 00:01:33,Resolved QFP,37.938486,16.081251,33S,4199541,595012,16,,1,0x28855050,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 04:38:20,1,,,,,Primary,,No,
2020.07.23 00:24:36,2020.07.23 00:24:36,3,37.94657,16.00165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.07.23 00:24:36,1,No,,No,,,1965 328 881 22 1 0 0 6,No,
2020.07.23 00:24:43,2020.07.23 00:24:43,3,37.96175,16.05798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.07.23 00:24:43,1,No,,No,,,0 0 881 0 0 0 0 0,No,
2020.07.23 00:32:46,2020.07.23 00:30:00,,,,2020.07.23 00:32:46,Resolved QFP,37.93855,16.08206,33S,4199549,595083,16,,3.6,0x288D5000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 04:38:20,1,,,,,Primary,,No,
2020.07.23 01:03:14,2020.07.23 01:00:00,,,,2020.07.23 01:03:14,Resolved QFP,37.939373,16.079542,33S,4199638,594860,7,,6.7,0x200D0800,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 04:38:20,1,,,,,Primary,,No,
2020.07.23 01:30:06,2020.07.23 01:30:00,,,,2020.07.23 01:30:06,Resolved QFP,37.939379,16.07945,33S,4199638,594852,8,,1.5,0x088D5000,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 04:38:20,1,,,,,Primary,,No,
2020.07.23 02:00:00,2020.07.23 00:00:00,,,,,,,,,,,,,,,,0.56641,29,140,,,5,,,,,,,0.55078,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,29,0,0,0,0,0,0,0,0,0,,,2020.07.23 04:38:20,1,,,,,Primary,,No,
2020.07.23 02:00:19,2020.07.23 02:00:00,,,,2020.07.23 02:00:19,Resolved QFP,37.938781,16.081448,33S,4199574,595029,10,,1.8,0x008D4A00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 04:38:20,1,,,,,Primary,,No,
2020.07.23 03:01:36,2020.07.23 03:00:00,,,,2020.07.23 03:01:36,Resolved QFP,37.944305,16.089543,33S,4200195,595733,8,,0.9,0x81854022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 07:40:53,1,,,,,Primary,,No,
2020.07.23 03:30:16,2020.07.23 03:30:00,,,,2020.07.23 03:30:16,Resolved QFP,37.946287,16.091336,33S,4200417,595888,24,,1.3,0x91850022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 07:40:53,1,,,,,Primary,,No,
2020.07.23 04:00:00,2020.07.23 02:00:00,,,,,,,,,,,,,,,,0.95703,26,274,,,9,,,,,,,0.38672,0.55859,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,18,8,0,0,0,0,0,0,0,0,,,2020.07.23 07:40:53,1,,,,,Primary,,No,
2020.07.23 04:17:57,2020.07.23 04:00:00,,,,2020.07.23 04:17:57,Resolved QFP,37.946717,16.094123,33S,4200468,596132,14,,0.9,0x91844822,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 07:40:53,1,,,,,Primary,,No,
2020.07.23 04:38:20,2020.07.23 04:38:20,6,37.92717,16.10175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.07.23 04:38:20,1,No,,No,,,4205 701 1175 8 0 0 2 4,No,
2020.07.23 04:38:29,2020.07.23 04:30:00,,,,2020.07.23 04:38:29,Resolved QFP,37.946659,16.094443,33S,4200462,596160,7,,1.4,0x91800022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 07:40:53,1,,,,,Primary,,No,
2020.07.23 05:02:22,2020.07.23 05:00:00,,,,2020.07.23 05:02:22,Resolved QFP,37.946604,16.094578,33S,4200456,596172,21,,2.6,0x91000822,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 07:40:53,1,,,,,Primary,,No,
2020.07.23 05:50:54,2020.07.23 05:30:00,,,,2020.07.23 05:50:54,Resolved QFP,37.947183,16.096141,33S,4200521,596309,5,,1,0xD1820802,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 07:40:53,1,,,,,Primary,,No,
2020.07.23 06:00:00,2020.07.23 04:00:00,,,,,,,,,,,,,,,,0.94141,6,1077,,,11,,,,,,,0.02734,0.91016,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0,6,0,0,0,0,0,0,0,0,,,2020.07.23 07:40:53,1,,,,,Primary,,No,
2020.07.23 06:19:15,2020.07.23 06:00:00,,,,2020.07.23 06:19:15,Resolved QFP,37.947033,16.095718,33S,4200504,596272,-11,,5.8,0x51020802,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 07:40:53,1,,,,,Primary,,No,
2020.07.23 06:46:33,2020.07.23 06:30:00,,,,2020.07.23 06:46:33,Resolved QFP,37.947263,16.096255,33S,4200530,596319,0,,1.8,0x51020812,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 07:40:53,1,,,,,Primary,,No,
2020.07.23 07:09:54,2020.07.23 07:00:00,,,,2020.07.23 07:09:54,Resolved QFP,37.947524,16.096639,33S,4200560,596352,12,,1.4,0x51020812,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 07:40:53,1,,,,,Primary,,No,
2020.07.23 07:40:43,2020.07.23 07:30:00,,,,2020.07.23 07:40:43,Resolved QFP,37.947579,16.097147,33S,4200566,596397,11,,1.1,0x521A0810,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 11:30:39,1,,,,,Primary,,No,
2020.07.23 07:40:53,2020.07.23 07:40:53,4,37.92717,16.10175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.07.23 07:40:53,1,No,,No,,,0 0 1711 7 0 0 0 0,No,
2020.07.23 08:00:00,2020.07.23 06:00:00,,,,,,,,,,,,,,,,0.94141,4,1545,,,11,,,,,,,0.01953,0.45703,0.46484,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0,2,2,0,0,0,0,0,0,0,,,2020.07.23 11:30:39,1,,,,,Primary,,No,
2020.07.23 08:07:22,2020.07.23 08:00:00,,,,2020.07.23 08:07:22,Resolved QFP,37.947921,16.097865,33S,4200605,596459,7,,1,0x501A8010,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 11:30:39,1,,,,,Primary,,No,
2020.07.23 08:35:33,2020.07.23 08:30:00,,,,2020.07.23 08:35:33,Resolved QFP,37.948121,16.098359,33S,4200628,596502,16,,0.7,0x571A8210,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 11:30:39,1,,,,,Primary,,No,
2020.07.23 09:09:32,2020.07.23 09:00:00,,,,2020.07.23 09:09:32,Resolved QFP,37.948649,16.097917,33S,4200686,596463,10,,1,0x561A8200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 11:30:39,1,,,,,Primary,,No,
2020.07.23 09:35:54,2020.07.23 09:30:00,,,,2020.07.23 09:35:54,Resolved QFP,37.94871,16.09768,33S,4200692,596442,7,,1,0x561A8200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 11:30:39,1,,,,,Primary,,No,
2020.07.23 10:00:00,2020.07.23 08:00:00,,,,,,,,,,,,,,,,0.94141,9,721,,,13,,,,,,,0.02734,0.39453,0.51172,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,4,0,5,0,0,0,0,0,0,0,,,2020.07.23 11:30:39,1,,,,,Primary,,No,
2020.07.23 10:06:14,2020.07.23 10:00:00,,,,2020.07.23 10:06:14,Resolved QFP,37.948839,16.097589,33S,4200707,596434,31,,1.4,0x061AC200,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 11:30:39,1,,,,,Primary,,No,
2020.07.23 10:35:53,2020.07.23 10:30:00,,,,2020.07.23 10:35:53,Resolved QFP,37.9488,16.097564,33S,4200702,596432,7,,1.2,0x0612C280,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 11:30:39,1,,,,,Primary,,No,
2020.07.23 11:02:08,2020.07.23 11:00:00,,,,2020.07.23 11:02:08,Resolved QFP,37.948886,16.097545,33S,4200712,596430,8,,1.6,0x06188600,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 11:30:39,1,,,,,Primary,,No,
2020.07.23 11:30:28,2020.07.23 11:30:00,,,,2020.07.23 11:30:28,Resolved QFP,37.948764,16.097531,33S,4200698,596429,2,,1.1,0x86188680,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 22:22:50,1,,,,,Primary,,No,
2020.07.23 11:30:39,2020.07.23 11:30:39,3,37.95562,16.10175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.07.23 11:30:39,1,No,,No,,,0 0 1598 8 0 0 0 0,No,
2020.07.23 12:00:00,2020.07.23 10:00:00,,,,,,,,,,,,,,,,0.94141,4,1615,,,11,,,,,,,0.01953,0.91797,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0,4,0,0,0,0,0,0,0,0,,,2020.07.23 22:22:50,1,,,,,Primary,,No,
2020.07.23 12:00:00,2020.07.23 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,2020.07.23 22:22:50,1,,,,,Primary,,No,
2020.07.23 12:00:24,2020.07.23 12:00:00,,,,2020.07.23 12:00:24,Resolved QFP,37.949177,16.098084,33S,4200745,596477,5,,1.2,0x84388680,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 22:22:50,1,,,,,Primary,,No,
2020.07.23 14:00:00,2020.07.23 12:00:00,,,,,,,,,,,,,,,,0.96484,45,169,,,11,,,,,,,0.63672,0.12109,0.17578,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,35,9,1,0,0,0,0,0,0,0,,,2020.07.23 22:22:50,1,,,,,Primary,,No,
2020.07.23 15:30:50,2020.07.23 15:30:00,,,,2020.07.23 15:30:50,Resolved QFP,37.975316,16.116929,33S,4203665,598098,45,,1.1,0x40240488,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 22:22:50,1,,,,,Primary,,No,
2020.07.23 16:00:00,2020.07.23 14:00:00,,,,,,,,,,,,,,,,0.97266,47,167,,,9,,,,,,,0.40234,0.53516,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,39,9,0,0,0,0,0,0,0,0,,,2020.07.23 22:22:50,1,,,,,Primary,,No,
2020.07.23 18:00:00,2020.07.23 16:00:00,,,,,,,,,,,,,,,,0.98047,58,122,,,9,,,,,,,0.61328,0.33984,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,47,10,0,0,0,0,0,0,0,0,,,2020.07.23 22:22:50,1,,,,,Primary,,No,
2020.07.23 18:35:04,2020.07.23 18:30:00,,,,2020.07.23 18:35:04,Resolved QFP,37.960263,16.105018,33S,4201982,597071,-38,,3.6,0x00240128,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 22:22:50,1,,,,,Primary,,No,
2020.07.23 20:00:00,2020.07.23 18:00:00,,,,,,,,,,,,,,,,0.93359,80,85,,,7,,,,,,,0.78516,0.10547,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,75,6,0,0,0,0,0,0,0,0,,,2020.07.23 22:22:50,1,,,,,Primary,,No,
2020.07.23 20:00:07,2020.07.23 20:00:00,,,,2020.07.23 20:00:07,Resolved QFP,37.952864,16.09297,33S,4201149,596023,6,,1.3,0x2000817A,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 22:22:50,1,,,,,Primary,,No,
2020.07.23 21:03:32,2020.07.23 21:00:00,,,,2020.07.23 21:03:32,Resolved QFP,37.946594,16.086944,33S,4200447,595501,2,,1.2,0x2800017A,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.23 22:22:50,1,,,,,Primary,,No,
2020.07.23 21:44:27,2020.07.23 21:30:00,,,,2020.07.23 21:44:27,Resolved QFP,37.946452,16.088617,33S,4200433,595649,-16,,2.5,0x28001112,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.24 02:00:15,1,,,,,Primary,,No,
2020.07.23 22:00:00,2020.07.23 20:00:00,,,,,,,,,,,,,,,,0.69922,61,77,,,3,,,,,,,0.65234,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,60,0,0,0,0,0,0,0,0,0,,,2020.07.24 02:00:15,1,,,,,Primary,,No,
