,,,,,,,,,,,,,,,,,,,,,,,0-120 seconds,121-300 seconds,301-600 seconds,601-1800 seconds,1801-3600 seconds,3601-65535 seconds,0-20m,21-40m,41-80m,81-200m,201-500m,501-4095m,51-70m,71-90m,91-110m,111-4095m,0-20m,21-40m,41-80m,81-200m,201-500m,501-4095m,51-70m,71-90m,91-110m,111-4095m,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,Underwater Percentage,Dive Count,Average Dive Duration,Dive Duration Standard Deviation,Maximum Dive Duration,Maximum Dive Depth,Duration Limit 1 Dive Count,Duration Limit 2 Dive Count,Duration Limit 3 Dive Count,Duration Limit 4 Dive Count,Duration Limit 5 Dive Count,Duration Limit 6 Dive Count,Layer 1 Percentage,Layer 2 Percentage,Layer 3 Percentage,Layer 4 Percentage,Layer 5 Percentage,Layer 6 Percentage,Layer 7 Percentage,Layer 8 Percentage,Layer 9 Percentage,Layer 10 Percentage,Layer 1 Dive Count,Layer 2 Dive Count,Layer 3 Dive Count,Layer 4 Dive Count,Layer 5 Dive Count,Layer 6 Dive Count,Layer 7 Dive Count,Layer 8 Dive Count,Layer 9 Dive Count,Layer 10 Dive Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Saltwater Failsafe,Iridium Command,Schedule Set,Diagnostic Dive Data,Predeployment Data,Error
2020.07.09 23:30:12,2020.07.09 23:30:00,,,,2020.07.09 23:30:12,Resolved QFP,37.930187,16.068178,33S,4198607,593873,32,,1.5,0x280050D0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 05:34:12,1,,,,,Primary,,No,
2020.07.10 00:00:00,2020.07.10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,2020.07.10 05:34:12,1,,,,,Primary,,No,
2020.07.10 00:30:08,2020.07.10 00:30:00,,,,2020.07.10 00:30:08,Resolved QFP,37.931116,16.069576,33S,4198712,593995,13,,1.1,0x28055050,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 05:34:12,1,,,,,Primary,,No,
2020.07.10 01:00:08,2020.07.10 01:00:00,,,,2020.07.10 01:00:08,Resolved QFP,37.931058,16.069576,33S,4198705,593995,19,,1.1,0x28855050,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 05:34:12,1,,,,,Primary,,No,
2020.07.10 01:30:07,2020.07.10 01:30:00,,,,2020.07.10 01:30:07,Resolved QFP,37.931116,16.069615,33S,4198712,593998,9,,0.9,0x288D1010,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 05:34:12,1,,,,,Primary,,No,
2020.07.10 02:00:00,2020.07.10 00:00:00,,,,,,,,,,,,,,,,0.07422,12,44,,,3,,,,,,,0.06641,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,12,0,0,0,0,0,0,0,0,0,,,2020.07.10 05:34:12,1,,,,,Primary,,No,
2020.07.10 02:00:08,2020.07.10 02:00:00,,,,2020.07.10 02:00:08,Resolved QFP,37.931174,16.06964,33S,4198718,594001,7,,1.6,0x088D5800,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 05:34:12,1,,,,,Primary,,No,
2020.07.10 03:02:21,2020.07.10 03:00:00,,,,2020.07.10 03:02:21,Resolved QFP,37.926526,16.070751,33S,4198203,594104,19,,1.4,0x018D4A00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 05:34:12,1,,,,,Primary,,No,
2020.07.10 03:43:05,2020.07.10 03:30:00,,,,2020.07.10 03:43:05,Resolved QFP,37.921882,16.070621,33S,4197688,594099,18,,0.8,0x80855A22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 05:34:12,1,,,,,Primary,,No,
2020.07.10 04:00:00,2020.07.10 02:00:00,,,,,,,,,,,,,,,,0.74609,55,98,,,19,,,,,,,0.43359,0.14453,0.13672,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,50,3,2,0,0,0,0,0,0,0,,,2020.07.10 05:34:12,1,,,,,Primary,,No,
