Remaining Data ID,No GPS Data ID,Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Saltwater Failsafe,Iridium Command,Schedule Set,Diagnostic Dive Data,Predeployment Data,Error
1,1,2019.07.15 14:15:00,2019.07.15 14:15:00,,,,28.0,,2019.07.15 14:40:24,1,,,,Roof Test,,No,
2,3,2019.07.15 14:30:00,2019.07.15 14:30:00,,,,37.0,,2019.07.15 14:40:24,1,,,,Roof Test,,No,
3,4,2019.07.15 14:40:24,2019.07.15 14:40:24,2.0,33.3804,-111.80938,,Hit,2019.07.15 14:40:24,1,No,No,,,0 0 0 2 0 0 0 0,No,
4,6,2019.07.15 14:45:00,2019.07.15 14:45:00,,,,41.0,,2019.07.15 15:10:24,1,,,,Roof Test,,No,
5,8,2019.07.15 15:00:00,2019.07.15 15:00:00,,,,43.0,,2019.07.15 15:10:24,1,,,,Roof Test,,No,
6,9,2019.07.15 15:10:24,2019.07.15 15:10:24,4.0,33.38778,-111.76945,,Hit,2019.07.15 15:10:24,1,No,No,,,0 0 0 2 0 0 0 0,No,
7,11,2019.07.15 15:15:00,2019.07.15 15:15:00,,,,45.0,,2019.07.15 15:40:25,1,,,,Roof Test,,No,
8,12,2019.07.15 15:30:00,2019.07.15 15:30:00,,,,48.0,,2019.07.15 15:40:25,1,,,,Roof Test,,No,
9,14,2019.07.15 15:40:25,2019.07.15 15:40:25,2.0,33.3804,-111.80938,,Hit,2019.07.15 15:40:25,1,No,No,,,0 0 0 2 0 0 0 0,No,
10,16,2019.07.15 15:45:00,2019.07.15 15:45:00,,,,50.0,,2019.07.15 16:10:23,1,,,,Roof Test,,No,
11,18,2019.07.15 16:00:00,2019.07.15 16:00:00,,,,51.0,,2019.07.15 16:10:23,1,,,,Roof Test,,No,
12,19,2019.07.15 16:10:23,2019.07.15 16:10:23,8.0,33.38778,-111.76945,,Hit,2019.07.15 16:10:23,1,No,No,,,0 0 0 2 0 0 0 0,No,
13,21,2019.07.15 16:15:00,2019.07.15 16:15:00,,,,53.0,,2019.07.15 16:40:27,1,,,,Roof Test,,No,
14,23,2019.07.15 16:30:00,2019.07.15 16:30:00,,,,55.0,,2019.07.15 16:40:27,1,,,,Roof Test,,No,
15,24,2019.07.15 16:40:27,2019.07.15 16:40:27,9.0,33.4326,-111.92128,,Hit,2019.07.15 16:40:27,1,No,No,,,0 0 0 2 0 0 0 0,No,
16,26,2019.07.15 16:45:00,2019.07.15 16:45:00,,,,56.0,,2019.07.15 16:50:27,1,,,,Roof Test,,No,
17,27,2019.07.15 16:50:27,2019.07.15 16:50:27,5.0,33.3804,-111.80938,,Hit,2019.07.15 16:50:27,1,No,No,,,0 0 0 1 0 0 0 0,No,
18,28,2020.06.27 08:02:40,2020.06.27 08:02:40,,,,28.0,,2020.06.27 08:07:51,1,,,,,,Yes,
19,29,2020.06.27 08:07:51,2020.06.27 08:07:51,2.0,38.00535,16.11438,,Hit,2020.06.27 08:07:51,1,,,,,,Yes,
20,30,2020.06.27 15:35:59,2020.06.27 15:35:59,,,,30.0,,2020.06.27 16:06:43,1,,,,,,Yes,
21,31,2020.06.27 16:06:43,2020.06.27 16:06:43,3.0,37.91202,16.0454,,Hit,2020.06.27 16:06:43,1,,,,,,Yes,
22,32,2020.06.27 16:06:56,2020.06.27 16:06:56,3.0,37.91202,16.0454,,Hit,2020.06.27 16:06:56,1,,,,,,,
23,33,2020.06.27 16:07:07,2020.06.27 16:07:07,3.0,37.91202,16.0454,,Hit,2020.06.27 16:07:07,1,,,,,,,
24,34,2020.06.29 09:22:54,2020.06.29 09:22:54,,,,38.0,,2020.06.29 09:33:12,1,,,,,,Yes,
25,35,2020.06.29 09:33:12,2020.06.29 09:33:12,9.0,37.96788,16.01422,,Hit,2020.06.29 09:33:12,1,,,,,,Yes,
26,36,2020.06.29 09:33:23,2020.06.29 09:33:23,9.0,37.96788,16.01422,,Hit,2020.06.29 09:33:23,1,,,,,,,
27,37,2020.06.29 09:33:29,2020.06.29 09:33:29,,,,,,2020.06.29 13:34:06,1,,,Update TPF 2020.06.27 08:33:32 00 00 35 44 32 44 32 32 39 36 2C 42 31 2C 35 45 46 37 30 34 35 43 00,,,No,
28,39,2020.06.29 12:00:00,2020.06.29 12:00:00,,,,56.0,,2020.06.29 14:30:20,1,,,,Primary,,No,
29,40,2020.06.29 13:34:06,2020.06.29 13:34:06,3.0,37.91202,16.0454,54.0,Hit,2020.06.29 13:34:06,1,,,,,,No,
30,42,2020.06.29 14:30:20,2020.06.29 14:30:20,4.0,37.91202,16.0454,,Hit,2020.06.29 14:30:20,1,No,No,,,0 0 0 2 0 0 0 0,No,
31,43,2020.07.09 22:38:29,2020.07.09 22:38:29,,,,26.0,,2020.07.09 22:48:42,1,,,,,,Yes,
32,44,2020.07.09 22:48:42,2020.07.09 22:48:42,2.0,37.92717,16.10175,,Hit,2020.07.09 22:48:42,1,,,,,,Yes,
33,45,2020.07.10 00:00:00,2020.07.10 00:00:00,,,,27.0,,2020.07.10 05:34:12,1,,,,Primary,,No,
34,46,2020.07.10 00:00:00,2020.07.10 00:00:00,,,,27.0,,2020.07.10 05:34:12,1,,,,Primary,,No,
35,51,2020.07.10 05:34:12,2020.07.10 05:34:12,,,,,Hit,2020.07.10 05:34:12,1,No,No,,,0 0 941 11 3 0 0 0,No,
36,52,2020.07.10 05:34:12,2020.07.10 05:34:12,,,,,Hit,2020.07.10 05:34:12,1,No,No,,,0 0 941 11 3 0 0 0,No,
37,59,2020.07.10 12:00:00,2020.07.10 12:00:00,,,,26.0,,2020.07.10 17:33:15,1,,,,Primary,,No,
38,60,2020.07.10 12:00:00,2020.07.10 12:00:00,,,,26.0,,2020.07.10 17:33:15,1,,,,Primary,,No,
39,65,2020.07.10 14:17:20,2020.07.10 14:17:20,4.0,37.91813,16.00165,,Hit,2020.07.10 14:17:20,1,No,No,,,7015 877 1593 15 1 0 4 4,No,
40,66,2020.07.10 14:17:20,2020.07.10 14:17:20,4.0,37.91813,16.00165,,Hit,2020.07.10 14:17:20,1,No,No,,,7015 877 1593 15 1 0 4 4,No,
41,69,2020.07.10 17:33:15,2020.07.10 17:33:15,3.0,37.91813,16.00165,,Hit,2020.07.10 17:33:15,1,No,No,,,154 154 1805 7 0 0 1 0,No,
42,70,2020.07.10 17:33:15,2020.07.10 17:33:15,3.0,37.91813,16.00165,,Hit,2020.07.10 17:33:15,1,No,No,,,154 154 1805 7 0 0 1 0,No,
43,77,2020.07.10 23:07:53,2020.07.10 23:07:53,5.0,37.91202,16.0454,,Hit,2020.07.10 23:07:53,1,No,No,,,4018 1005 721 11 0 0 2 2,No,
44,78,2020.07.10 23:07:53,2020.07.10 23:07:53,5.0,37.91202,16.0454,,Hit,2020.07.10 23:07:53,1,No,No,,,4018 1005 721 11 0 0 2 2,No,
45,79,2020.07.11 00:00:00,2020.07.11 00:00:00,,,,24.0,,2020.07.11 02:28:17,1,,,,Primary,,No,
46,80,2020.07.11 00:00:00,2020.07.11 00:00:00,,,,24.0,,2020.07.11 02:28:17,1,,,,Primary,,No,
47,85,2020.07.11 02:28:17,2020.07.11 02:28:17,3.0,37.91202,16.0454,,Hit,2020.07.11 02:28:17,1,No,No,,,0 0 1936 7 0 0 0 0,No,
48,86,2020.07.11 02:28:17,2020.07.11 02:28:17,3.0,37.91202,16.0454,,Hit,2020.07.11 02:28:17,1,No,No,,,0 0 1936 7 0 0 0 0,No,
49,96,2020.07.11 12:00:00,2020.07.11 12:00:00,,,,29.0,,2020.07.11 18:59:49,1,,,,Primary,,No,
50,97,2020.07.11 12:00:00,2020.07.11 12:00:00,,,,29.0,,2020.07.11 18:59:49,1,,,,Primary,,No,
