No GPS Data ID,Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,Underwater Percentage,Dive Count,Average Dive Duration,Dive Duration Standard Deviation,Maximum Dive Duration,Maximum Dive Depth,Duration Limit 1 Dive Count,Duration Limit 2 Dive Count,Duration Limit 3 Dive Count,Duration Limit 4 Dive Count,Duration Limit 5 Dive Count,Duration Limit 6 Dive Count,Layer 1 Percentage,Layer 2 Percentage,Layer 3 Percentage,Layer 4 Percentage,Layer 5 Percentage,Layer 6 Percentage,Layer 7 Percentage,Layer 8 Percentage,Layer 9 Percentage,Layer 10 Percentage,Layer 1 Dive Count,Layer 2 Dive Count,Layer 3 Dive Count,Layer 4 Dive Count,Layer 5 Dive Count,Layer 6 Dive Count,Layer 7 Dive Count,Layer 8 Dive Count,Layer 9 Dive Count,Layer 10 Dive Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Saltwater Failsafe,Iridium Command,Schedule Set,Diagnostic Dive Data,Predeployment Data,Error
18,2019.07.15 16:00:00,2019.07.15 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,2019.07.15 16:10:23,1,,,,,Roof Test,,No,
19,2019.07.15 16:10:23,2019.07.15 16:10:23,8.0,33.38778,-111.76945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2019.07.15 16:10:23,1,No,,No,,,0 0 0 2 0 0 0 0,No,
20,2019.07.15 16:15:00,2019.07.15 16:00:00,,,,,,,,,,,,,,,,0.000%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2019.07.15 16:40:27,1,,,,,Roof Test,,No,
21,2019.07.15 16:15:00,2019.07.15 16:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,2019.07.15 16:40:27,1,,,,,Roof Test,,No,
22,2019.07.15 16:30:00,2019.07.15 16:15:00,,,,,,,,,,,,,,,,0.000%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2019.07.15 16:40:27,1,,,,,Roof Test,,No,
23,2019.07.15 16:30:00,2019.07.15 16:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,2019.07.15 16:40:27,1,,,,,Roof Test,,No,
24,2019.07.15 16:40:27,2019.07.15 16:40:27,9.0,33.4326,-111.92128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2019.07.15 16:40:27,1,No,,No,,,0 0 0 2 0 0 0 0,No,
25,2019.07.15 16:45:00,2019.07.15 16:30:00,,,,,,,,,,,,,,,,0.000%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2019.07.15 16:50:27,1,,,,,Roof Test,,No,
26,2019.07.15 16:45:00,2019.07.15 16:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,2019.07.15 16:50:27,1,,,,,Roof Test,,No,
27,2019.07.15 16:50:27,2019.07.15 16:50:27,5.0,33.3804,-111.80938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2019.07.15 16:50:27,1,No,,No,,,0 0 0 1 0 0 0 0,No,
28,2020.06.27 08:02:40,2020.06.27 08:02:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,2020.06.27 08:07:51,1,,,,,,,Yes,
29,2020.06.27 08:07:51,2020.06.27 08:07:51,2.0,38.00535,16.11438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.06.27 08:07:51,1,,,,,,,Yes,
30,2020.06.27 15:35:59,2020.06.27 15:35:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,2020.06.27 16:06:43,1,,,,,,,Yes,
31,2020.06.27 16:06:43,2020.06.27 16:06:43,3.0,37.91202,16.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.06.27 16:06:43,1,,,,,,,Yes,
32,2020.06.27 16:06:56,2020.06.27 16:06:56,3.0,37.91202,16.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.06.27 16:06:56,1,,,,,,,,
33,2020.06.27 16:07:07,2020.06.27 16:07:07,3.0,37.91202,16.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.06.27 16:07:07,1,,,,,,,,
34,2020.06.29 09:22:54,2020.06.29 09:22:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,2020.06.29 09:33:12,1,,,,,,,Yes,
35,2020.06.29 09:33:12,2020.06.29 09:33:12,9.0,37.96788,16.01422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.06.29 09:33:12,1,,,,,,,Yes,
36,2020.06.29 09:33:23,2020.06.29 09:33:23,9.0,37.96788,16.01422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.06.29 09:33:23,1,,,,,,,,
